FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3038,Aviation  Environmental and Regulatory Litigation,4032,Corporate Contracts,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$410.00,$410.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4039,Legal Information,L 01,9,1643,Assistant Corporation Counsel,Annual,2,1,$63840.00,$127680.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4039,Legal Information,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$87408.00,$87408.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4039,Legal Information,B 13,1,1617,Paralegal II,Annual,1,1,$49188.00,$49188.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4039,Legal Information,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$246.00,$246.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4041,Prosecutions,1 00,9,1656,City Prosecutor,Annual,1,1,$139932.00,$139932.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4041,Prosecutions,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$88968.00,$88968.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4041,Prosecutions,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$65628.00,$65628.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4041,Prosecutions,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$62136.00,$62136.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4041,Prosecutions,L 01,9,1643,Assistant Corporation Counsel,Annual,2,1,$58908.00,$117816.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4041,Prosecutions,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$116424.00,$116424.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4041,Prosecutions,B 13,1,1617,Paralegal II,Annual,1,1,$81948.00,$81948.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4041,Prosecutions,B 12,1,0863,Legal Secretary,Annual,1,1,$71292.00,$71292.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4041,Prosecutions,B 13,1,0308,Staff Assistant,Annual,1,1,$68028.00,$68028.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4041,Prosecutions,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$2826.00,$2826.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3039,Investigations and Prosecutions,4041,Prosecutions,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$1106.00,$1106.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3045,Real Estate,0,,BX 15,0,1689,Administrative Assistant to Deputy Corporation Counsel,Annual,1,1,$72492.00,$72492.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3045,Real Estate,0,,1 00,9,1650,Deputy Corporation Counsel,Annual,1,1,$137076.00,$137076.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3045,Real Estate,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$99156.00,$99156.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3045,Real Estate,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$60480.00,$60480.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3045,Real Estate,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$58908.00,$58908.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3045,Real Estate,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$121752.00,$121752.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3045,Real Estate,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$113016.00,$113016.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3045,Real Estate,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$106896.00,$106896.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3045,Real Estate,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$105564.00,$105564.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3045,Real Estate,0,,BX 15,10,1619,Supervising Paralegal,Annual,1,1,$91476.00,$91476.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3045,Real Estate,0,,B 13,1,1617,Paralegal II,Annual,1,1,$89880.00,$89880.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3045,Real Estate,0,,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$449.00,$449.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,BX 15,0,1689,Administrative Assistant to Deputy Corporation Counsel,Annual,1,1,$87324.00,$87324.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,1 00,9,1652,Chief Assistant Corporation Counsel,Annual,1,1,$124572.00,$124572.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,1 00,9,1650,Deputy Corporation Counsel,Annual,1,1,$137076.00,$137076.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$101676.00,$101676.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$68964.00,$68964.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$62136.00,$62136.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,L 01,9,1643,Assistant Corporation Counsel,Annual,2,1,$58908.00,$117816.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$109608.00,$109608.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$93804.00,$93804.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,2,1,$88968.00,$177936.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,B 13,1,1617,Paralegal II,Annual,1,1,$49188.00,$49188.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,B 10,1,0831,Personal Computer Operator III,Annual,1,1,$64992.00,$64992.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3046,Revenue Litigation,4021,Corporate Litigation,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$571.00,$571.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,BX 15,0,1689,Administrative Assistant to Deputy Corporation Counsel,Annual,1,1,$72492.00,$72492.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,1 00,9,1652,Chief Assistant Corporation Counsel,Annual,1,1,$124572.00,$124572.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$99156.00,$99156.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$68964.00,$68964.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$62136.00,$62136.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$58908.00,$58908.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$106896.00,$106896.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$104244.00,$104244.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$102948.00,$102948.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,4 00,9,1631,Law Clerk,Hourly,31613,0,$14.23,$449853.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,B 13,1,1617,Paralegal II,Annual,1,1,$89880.00,$89880.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,B 13,1,1617,Paralegal II,Annual,1,1,$58608.00,$58608.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,B 12,1,0863,Legal Secretary,Annual,1,1,$74676.00,$74676.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,BX 10,20,0809,Executive Secretary I,Annual,1,1,$49344.00,$49344.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,B 13,1,0308,Staff Assistant,Annual,1,1,$71292.00,$71292.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,B 10,1,0302,Administrative Assistant II,Annual,1,1,$64992.00,$64992.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,B 10,1,0302,Administrative Assistant II,Annual,1,1,$56544.00,$56544.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$3723.00,$3723.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3049,Collections  Ownership and Administrative Litigation,0,,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$2079.00,$2079.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,BX 15,0,1689,Administrative Assistant to Deputy Corporation Counsel,Annual,1,1,$79596.00,$79596.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,1 00,9,1652,Chief Assistant Corporation Counsel,Annual,3,1,$124572.00,$373716.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,1 00,9,1650,Deputy Corporation Counsel,Annual,3,1,$137076.00,$411228.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$90540.00,$90540.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$77568.00,$77568.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,2,1,$72492.00,$144984.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,2,1,$70896.00,$141792.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,2,1,$67152.00,$134304.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,6,1,$63840.00,$383040.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,4,1,$62136.00,$248544.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$60480.00,$60480.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,10,1,$58908.00,$589080.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$114672.00,$114672.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,2,1,$113016.00,$226032.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$109608.00,$109608.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$108240.00,$108240.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$105564.00,$105564.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$101676.00,$101676.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,2,1,$90540.00,$181080.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,2,1,$87408.00,$174816.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,BX 15,10,1619,Supervising Paralegal,Annual,1,1,$87324.00,$87324.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,BX 15,10,1619,Supervising Paralegal,Annual,1,1,$83340.00,$83340.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,B 13,1,1617,Paralegal II,Annual,1,1,$85764.00,$85764.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,B 13,1,1617,Paralegal II,Annual,1,1,$78204.00,$78204.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,B 13,1,1617,Paralegal II,Annual,2,1,$74676.00,$149352.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,B 13,1,1617,Paralegal II,Annual,1,1,$71292.00,$71292.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,B 13,1,1617,Paralegal II,Annual,1,1,$68028.00,$68028.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,B 13,1,1617,Paralegal II,Annual,1,1,$49188.00,$49188.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,B 10,1,0875,Senior Legal Personal Computer Operator,Annual,1,1,$37248.00,$37248.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,B 12,1,0863,Legal Secretary,Annual,1,1,$71292.00,$71292.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,B 12,1,0863,Legal Secretary,Annual,1,1,$44820.00,$44820.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$1653.00,$1653.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3125,Federal Civil Rights Litigation,0,,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$3275.00,$3275.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3144,Finance and Economic Development,0,,BX 15,0,1689,Administrative Assistant to Deputy Corporation Counsel,Annual,1,1,$72492.00,$72492.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3144,Finance and Economic Development,0,,1 00,9,1650,Deputy Corporation Counsel,Annual,1,1,$137076.00,$137076.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3144,Finance and Economic Development,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$110976.00,$110976.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3144,Finance and Economic Development,0,,L 01,9,1643,Assistant Corporation Counsel,Annual,1,1,$92160.00,$92160.00
Local,56,IPRA,0100,CORPORATE FUND,1005,IPRA,2005,IPRA,3010,Investigations,0,,1 00,9,9680,Deputy Chief Administrator,Annual,1,1,$126624.00,$126624.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3144,Finance and Economic Development,0,,L 02,9,1641,Assistant Corporation Counsel Supervisor - Senior,Annual,1,1,$111312.00,$111312.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3144,Finance and Economic Development,0,,B 13,1,1617,Paralegal II,Annual,1,1,$85764.00,$85764.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3144,Finance and Economic Development,0,,B 13,1,1617,Paralegal II,Annual,2,1,$74676.00,$149352.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3144,Finance and Economic Development,0,,B 12,1,0863,Legal Secretary,Annual,1,1,$68028.00,$68028.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3144,Finance and Economic Development,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$838.00,$838.00
Local,31,DEPARTMENT OF LAW,0100,CORPORATE FUND,1005,LAW,2005,LAW,3144,Finance and Economic Development,0,,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,$1516.00,$1516.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3005,Administration,4005,Commissioner's Office,1 00,9,9933,Commissioner of Human Resources,Annual,1,1,$151572.00,$151572.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3005,Administration,4005,Commissioner's Office,1 00,9,9813,Managing Deputy Commissioner,Annual,1,1,$127824.00,$127824.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3005,Administration,4005,Commissioner's Office,1 00,9,9660,First Deputy Commissioner,Annual,1,1,$134868.00,$134868.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3005,Administration,4005,Commissioner's Office,3 00,0,1430,Policy Analyst,Annual,1,1,$65424.00,$65424.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3005,Administration,4005,Commissioner's Office,BX 15,10,0802,Executive Administrative Assistant II,Annual,1,1,$69240.00,$69240.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3005,Administration,4005,Commissioner's Office,BX 15,10,0802,Executive Administrative Assistant II,Annual,1,1,$56124.00,$56124.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3005,Administration,4010,Finance and Administration,B 15,1,1302,Administrative Services Officer II,Annual,1,1,$81948.00,$81948.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3005,Administration,4010,Finance and Administration,BX 09,20,0415,Inquiry Aide III,Annual,1,1,$40932.00,$40932.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3005,Administration,4010,Finance and Administration,BX 17,20,0394,Administrative Manager,Annual,1,1,$68556.00,$68556.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3005,Administration,4010,Finance and Administration,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,$69240.00,$69240.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3005,Administration,4010,Finance and Administration,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,$5652.00,$5652.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3005,Administration,4011,Human Resources Board,BX 15,10,1912,Project Coordinator,Annual,1,1,$91476.00,$91476.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3015,Workforce Compliance,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,$116604.00,$116604.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3015,Workforce Compliance,0,,GY 07,20,3534,Clinical Therapist III,Annual,1,1,$64212.00,$64212.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3015,Workforce Compliance,0,,3 00,0,1385,Disability Officer,Annual,1,1,$92700.00,$92700.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3015,Workforce Compliance,0,,3 00,0,1384,Equal Employment Opportunity Officer,Annual,1,1,$92700.00,$92700.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3015,Workforce Compliance,0,,GY 07,20,1364,Training and Development Analyst,Annual,4,1,$82668.00,$330672.00
Local,33,DEPARTMENT OF HUMAN RESOURCES,0100,CORPORATE FUND,1005,HUMAN RESOURCES,2005,HUMAN RESOURCES,3015,Workforce Compliance,0,,GY 06,10,1353,EEO Investigator I,Annual,1,1,$66768.00,$66768.00
